Fish,Scan,Scanner,Scan date,Voxelsize [μm],Source voltage [kV],Source current [μA],Filter,Exposure time [ms],Frame averaging,360° scan,Rotation step [°],Projection size,Scan duration [s],Stacked scans,Total scan duration [s],Ring removal correction,Beam hardening correction,Gray value mapping
104856_Enterochromis_II_cf_morsei,rec,SkyScan 2214,2021-11-30 11:32:58,8.500239,70.0,140.0,False,569,,False,0.1,"(3072, 1944)",5597.0,1,5597.0,,,0.114365
104856_Enterochromis_II_cf_morsei,rec_oj,SkyScan 2214,2022-04-11 14:17:11,9.003147,70.0,140.0,False,790,,False,0.1,"(3072, 1944)",6535.0,1,6535.0,,,0.165596
104856_Enterochromis_II_cf_morsei,rec_pj,SkyScan 2214,2022-04-11 16:19:55,9.003147,70.0,140.0,False,790,,False,0.1,"(3072, 1944)",6495.0,1,6495.0,,,0.116339
104929_Gaurochromis_sp,head.rec,SkyScan 2214,2022-11-01 13:23:11,13.000661,70.0,145.0,False,736,,False,0.1,"(3072, 1944)",6593.0,1,6593.0,,,0.117948
104929_Gaurochromis_sp,rec,SkyScan 2214,2021-11-29 11:43:14,8.500239,70.0,140.0,False,569,,False,0.15,"(3072, 1944)",3825.0,1,3825.0,,,0.090437
104929_Gaurochromis_sp,rec_OJ,SkyScan 2214,2021-11-25 13:37:05,9.000117,70.0,140.0,False,1075,,False,0.15,"(3072, 1944)",5181.0,1,5181.0,,,0.094192
105005_104015_Incertae_sedis_vanoijeni_and_Enterochromis_I_cinctus_St_E,104015_rec,SkyScan 2214,2021-05-17 10:21:47,7.036958,70.0,140.0,False,1021,,False,0.2,"(3070, 1944)",3746.0,1,3746.0,,,0.088249
105005_104015_Incertae_sedis_vanoijeni_and_Enterochromis_I_cinctus_St_E,105005_rec,SkyScan 2214,2021-05-17 10:21:47,7.036958,70.0,140.0,False,1021,,False,0.2,"(3070, 1944)",3746.0,1,3746.0,,,0.092197
105105_Prognathochromis_dwarf_dentex,rec,SkyScan 2214,2021-04-16 11:31:09,10.734545,70.0,125.0,False,720,,False,0.2,"(3070, 1944)",3159.0,1,3159.0,,,0.109487
105105_Prognathochromis_dwarf_dentex,rec_rereconstruct,SkyScan 2214,2021-04-16 11:31:09,10.734545,70.0,125.0,False,720,,False,0.2,"(3070, 1944)",3159.0,1,3159.0,,,0.109487
105105_Prognathochromis_dwarf_dentex,rec_rescan_OJ,SkyScan 2214,2021-12-17 15:24:05,7.000603,70.0,116.0,False,900,,False,0.15,"(3072, 1944)",4729.0,1,4729.0,,,0.147761
